TRADING_NAME,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,latitude,longitude
Ampol Rous Head,Cnr North Mole Dr & Rous Head Rd,NORTH FREMANTLE,6159,North of River,Metro,-32.0499,115.7339
Ampol Wedgefield Diesel Stop,12-14 Cajarina Rd,WEDGEFIELD,6721,Port Hedland,Pilbara,-20.3808,118.5912
Ampol Welshpool Diesel Stop,119 Kurnall Rd,WELSHPOOL,6106,South of River,Metro,-31.9913,115.9638
Astron Quinns Rocks,121 Quinns Rd,QUINNS ROCKS,6030,North of River,Metro,-31.6726,115.7083
Astron Roleystone,11 Wygonda Rd,ROLEYSTONE,6111,East/Hills,Metro,-32.1126,116.0708
Atlas Fresh Trading Co Northam,Cnr Great Eastern Hwy & Yilgarn Ave,MALABAINE,6401,Northam-Shire,Wheatbelt,-31.6351,116.7179
Atlas Fuel Ascot,472 Great Eastern Hwy,ASCOT,6104,South of River,Metro,-31.9252,115.9518
Atlas Fuel Caversham,40 Bennett St,CAVERSHAM,6055,North of River,Metro,-31.8718,115.9602
Atlas Fuel Forrestfield,78C Hale Rd,FORRESTFIELD,6058,East/Hills,Metro,-31.9879,116.0085
Atlas Fuel Geraldton,184 North West Coastal Hwy,WONTHELLA,6530,Geraldton,Mid-West,-28.7597,114.6248
Atlas Fuel Jarrahdale,2 Jarrahdale Rd,JARRAHDALE,6124,South of River,Metro,-32.3092,116.0069
Atlas Fuel Kwinana,1 Mandurah Rd,KWINANA BEACH,6167,South of River,Metro,-32.2359,115.7805
Atlas Fuel Midvale,227 Morrison Rd,MIDVALE,6056,East/Hills,Metro,-31.8852,116.0309
Atlas Fuel Narrogin,44 Egerton St,NARROGIN,6312,Narrogin,Wheatbelt,-32.9332,117.1767
Atlas Fuel Sawyers Valley,10895 Great Eastern Hwy,SAWYERS VALLEY,6074,East/Hills,Metro,-31.9033,116.205
Atlas Fuel Stratton,177 O'Connor Rd,STRATTON,6056,East/Hills,Metro,-31.8697,116.0344
Atlas Fuel Thornlie,223 Yale Rd,THORNLIE,6108,South of River,Metro,-32.0611,115.9391
Atlas Fuel Wanneroo,951 Wanneroo Rd,WANNEROO,6065,North of River,Metro,-31.7527,115.8031
Atlas Fuel Welshpool,36 Welshpool Rd,WELSHPOOL,6106,South of River,Metro,-31.9937,115.9193
BOC Gas & Gear,287 Place Rd,WEBBERTON,6530,Geraldton,Mid-West,-28.7589,114.6353
BP 2go Australind,80 Old Coast Rd,AUSTRALIND,6233,Harvey,South-West,-33.2794,115.7141
BP 2go Bellevue,59 Great Eastern Hwy,BELLEVUE,6056,East/Hills,Metro,-31.8953,116.0316
BP 2go Burrendah,69 Pinetree Gully Rd,WILLETTON,6155,South of River,Metro,-32.0583,115.882
BP 2go Cannington,1443 Albany Hwy,CANNINGTON,6107,South of River,Metro,-32.0257,115.9418
BP 2go Collins Road,121 Collins Rd,WILLETTON,6155,South of River,Metro,-32.0558,115.9035
BP 2go Morrison Road,226 Morrison Rd,MIDVALE,6056,East/Hills,Metro,-31.8864,116.0309
BP 2go Noranda,40 Benara Rd,NORANDA,6062,North of River,Metro,-31.8759,115.8943
BP 2go Silver Sands,183-187 Mandurah Tce,MANDURAH,6210,Mandurah,Peel,-32.5199,115.7313
